2026-05-26 18:02:09 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:09 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:09 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:09 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/fastgpt | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/fastgpt | status=200
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/static/css/fastgpt.css | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/static/css/fastgpt.css | status=304
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:02:17 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:17 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/tools | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/tools | status=200
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/static/css/tools.css | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/static/css/tools.css | status=304
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/static/js/tools.js | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/static/js/tools.js | status=304
2026-05-26 18:02:21 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:21 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:26 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:26 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
